20 95
0 6 18
6 11 3
11 4 19
4 5 19
5 12 3
12 2 9
2 7 17
7 9 4
9 19 11
19 18 1
18 1 4
1 16 5
16 10 1
10 15 5
15 14 1
14 8 7
8 13 6
13 17 8
17 3 16
13 2 6
7 10 0
17 11 1
17 10 1
9 6 12
8 1 3
7 1 13
12 14 1
8 5 16
10 17 5
3 2 11
7 16 0
3 12 13
11 5 4
18 10 1
13 16 1
16 8 3
1 13 9
8 2 13
13 7 2
18 0 0
19 6 6
17 0 3
10 13 7
0 1 0
0 14 2
12 13 1
7 16 1
12 0 7
10 7 2
16 15 1
10 13 7
19 11 1
2 15 3
0 10 11
14 19 3
5 19 6
12 9 9
0 4 7
0 9 3
2 17 2
11 4 11
0 16 14
12 19 1
14 19 1
19 12 8
4 3 15
8 17 16
13 9 15
17 16 7
12 9 9
11 1 9
8 12 17
14 4 16
4 14 5
15 8 16
18 2 6
2 3 0
7 8 2
12 2 2
9 11 5
3 6 7
13 1 12
0 8 2
1 3 15
17 8 2
0 3 18
17 7 13
6 12 5
2 4 14
11 10 1
13 16 5
11 10 1
13 3 9
9 5 15
12 18 7
